Layer #,Group (Aâ€“F),Primary plane,Owner,Required artifacts,CI gate,Evidence link (to fill)
1,F,Process (hybrid),DAO/Founders/Sec,POLICY-CATALOG.md; EXCEPTIONS.md; CODEOWNERS; sign-off template,Policy lint job; CODEOWNERS required; signed policy bundle,docs/security/POLICY-CATALOG.md
2,B,Infra + App code,SecOps/Platform/Backend,IdP config; RBAC map; OPA/Cedar bundles; service accounts,OPA/Cedar unit tests; access-review report in CI,docs/security/IAM-RBAC-MAP.md
3,B,Infra + On-chain,SecOps/Protocol,MPC/HSM policy; multisig addresses; key-rotation runbook,Rotation drill check; signer health probe; multisig threshold check,docs/runbooks/key-rotation.md
4,B,App code + Infra,Backend/Sec,Policy registry; allow/deny lists; rate-classes; policy provenance,Policy test suite; bundle signature verify in CI,infra/policies/OPA-Cedar/README.md
5,A,On-chain code,Protocol,CEI guards; input bounds; reentrancy guards; math invariants list,Unit+fuzz+invariant; Slither static; gas snapshot,contracts/test/INVARIANTS.md
6,A,On-chain + Process,Protocol/DAO,UUPS/proxy; storage layout map; timelock; guardian multisig,Storage-layout diff on upgrade PRs; upgrade dry-run,contracts/script/UPGRADE-PLAN.md
7,A,On-chain + Off-chain sims,Protocol/Risk,"Risk params (CF, LT, LR); fee router; insurance fund policy",Economic sims; liquidation scenario tests,docs/protocol/RISK-PARAMS.md
8,A,Hybrid (on/off),Protocol/Backend,Oracle adapters; publisher keys; TWAP/median config,Manipulation/staleness tests; failover drill,docs/protocol/ORACLE-DESIGN.md
9,A,Hybrid,Protocol/Backend,Commit-reveal/FBA config; private orderflow routes,MEV sims; anti-sandwich bounds tests,docs/protocol/MEV-MITIGATIONS.md
10,A,Hybrid,Protocol/Backend,EntryPoint/AA contracts; paymaster/bundler policy; session keys,UserOp fuzz; sponsorship budget checks; scope-leak tests,docs/protocol/AA-SECURITY.md
11,A,Hybrid,Backend/Relays,Private tx relay config; replay rules (chainId/nonce); deadlines,Replay tests; deadline/permit tests,docs/infra/TX-ROUTING.md
12,D,Off-chain app/edge,Backend/SRE,WAF rules; token-bucket quotas; idempotency keys; job guards,Spike/stress tests; rate-limit accuracy tests,docs/infra/RATE-LIMITS.md
13,C,Off-chain app + Infra,Backend/SecOps,Field encryption config; PII map; DSR/erasure procedures,Crypto config tests; DSR tests; redaction lints,docs/data/PRIVACY-DATA-MAP.md
14,C,Hybrid,Backend/Infra,IPFS/Arweave pin set; on-chain hash anchors; content safety policy,Pin coverage job; integrity verification; fallback test,docs/data/STORAGE-INTEGRITY.md
15,D,Infra,SRE/Platform,TLS/mTLS; RPC provider set; failover policy; pinning,Failover drills; TLS pin; health scoring in CI,docs/infra/RPC-STRATEGY.md
16,D,Infra,SRE/Platform,K8s admission policies; seccomp/AppArmor; read-only FS; secrets mgmt,CIS/kube-bench; admission policy tests,docs/infra/K8S-HARDENING.md
17,D,CI/CD,DevEx/SecOps,SBOM; cosign attestations; provenance; dep pinning,SBOM diff; signature verify; container scan,docs/ci/SUPPLY-CHAIN.md
18,E,Infra + App hooks,SRE/Backend,OTel collector; Prom rules; SIEM rules; admin audit log,Alert tests; trace coverage %; audit completeness,docs/observability/OTEL-SETUP.md
19,E,Process + Infra,SRE/Sec,Pause/kill runbook; backups/snapshots; restore jobs; comms plan,IR/DR game-day job; RPO/RTO tests,docs/runbooks/INCIDENT-RESPONSE.md
20,A,Hybrid,Protocol/Bridge,Bridge contracts; proof system (light/opt/ZK); watchers/challengers,Proof verification tests; challenge window sims,docs/protocol/BRIDGE-SECURITY.md
21,F,Process + Edge,Legal/Sec,Terms/privacy; geo/age gates; sanctions screening (if used),Policy tests; geo-block tests; consent logs,docs/compliance/LEGAL-GUARDRAILS.md
22,F,CI + Code,QA/All teams,Unit/fuzz/invariant/chaos suites; mainnet-fork plan; reports,CI green on all suites; evidence bundle signed,docs/testing/ASSURANCE-EVIDENCE.md
